,ok,idx,time,lat,lon,distance,seconds,speed,heading,ele,deltat,deltaxy,deltaz,ascspeed
0,True,0,2020-06-04T12:52:47Z,44.484730888575754,-1.095486329970461,1.2726587964029816,1.0,1.589,75.14814876062604,2424.0,1.0,1.2726587964029816,3.0,3.0
1,True,1,2020-06-04T12:52:48Z,44.484733822241864,-1.095470823449592,4.008169533769264,2.0,2.149,19.30431831998405,2427.0,1.0,2.735510737366282,4.0,4.0
2,True,2,2020-06-04T12:52:49Z,44.48475704011365,-1.0954594240612778,6.761357240569585,3.0,2.32,19.762590353217718,2431.0,1.0,2.753187706800321,-2.0,-2.0
3,True,3,2020-06-04T12:52:50Z,44.484780341804466,-1.0954476893968366,9.053604639792345,4.0,2.4,26.812885806175757,2429.0,1.0,2.2922473992227603,-3.5,-3.5
4,True,4,2020-06-04T12:52:51Z,44.48479874008193,-1.0954346555374035,11.345851892540566,5.0,2.415,26.812878511124552,2425.5,1.0,2.2922472527482203,-3.5,-3.5
5,True,5,2020-06-04T12:52:52Z,44.484817138359396,-1.0954216216779706,13.614157453293071,6.0,2.43,29.8905654173048,2422.0,1.0,2.2683055607525064,9.0,9.0
6,True,6,2020-06-04T12:52:53Z,44.48483482417509,-1.0954073724425777,16.170086404998187,7.0,2.529,25.750969202416513,2431.0,1.0,2.555928951705118,-4.0,-4.0
7,True,7,2020-06-04T12:52:54Z,44.48485552747592,-1.0953933746642799,18.714572363360045,8.0,2.649,25.211516129144826,2427.0,1.0,2.544485958361856,-9.0,-9.0
8,True,8,2020-06-04T12:52:55Z,44.48487623077676,-1.095379712162109,21.734174625529963,9.0,2.66,27.26019295491946,2418.0,1.0,3.019602262169919,-1.0,-1.0
9,True,9,2020-06-04T12:52:56Z,44.4849003706579,-1.0953622778035106,24.91769272783893,10.0,3.359,33.751538608276775,2417.0,1.0,3.183518102308965,14.0,14.0
10,True,10,2020-06-04T12:52:57Z,44.484924175262904,-1.0953399819410723,28.33066016111273,11.0,3.319,28.765334997475037,2431.0,1.0,3.4129674332737996,1.0,1.0
11,True,11,2020-06-04T12:52:58Z,44.48495108117209,-1.0953192786402366,31.278868491681994,12.0,3.31,31.399177846121802,2432.0,1.0,2.9482083305692646,-15.0,-15.0
